ndc_description,ndc,nadac_per_unit,effective_date,pricing_unit,pharmacy_type_indicator,otc,explanation_code,classification_for_rate_setting,corresponding_generic_drug_nadac_per_unit,corresponding_generic_drug_effective_date,as_of_date
"12HR NASAL DECONGEST ER 120 MG",24385005452,0.29229,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"12HR NASAL DECONGEST ER 120 MG",70000047501,0.29229,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"24H NASAL ALLERGY 55 MCG SPRAY",46122038576,0.72102,09/20/2023,ML,C/I,Y,"1, 5",G,,,10/04/2023
"24HR ALLERGY(LEVOCETIRZN) 5 MG",70000036201,0.19182,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"24HR ALLERGY(LEVOCETIRZN) 5 MG",70000036202,0.19182,09/20/2023,EA,C/I,Y,1,G,,,10/04/2023
"3-DAY VAGINAL CREAM",51672206200,0.29065,09/20/2023,GM,C/I,Y,"1, 5, 6",G,,,10/04/2023
"8 HOUR ACETAMINOPHEN ER 650 MG",46122006271,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"8HR ARTHRITIS PAIN ER 650 MG",46122062978,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"8HR ARTHRITIS PAIN ER 650 MG",70000018002,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"8HR ARTHRITIS PAIN ER 650 MG",70000018003,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"8HR ARTHRITIS PAIN ER 650 MG",70000018005,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"8HR MUSCLE ACHE-PAIN ER 650 MG",70000030601,0.06929,08/23/2023,EA,C/I,Y,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",00378410591,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",00904687404,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",00904687406,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",31722055760,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",50268004911,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",50268004912,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",51079020401,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",51079020406,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",64380071703,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",65862007360,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
"ABACAVIR 300 MG TABLET",68084002111,0.61757,07/19/2023,EA,C/I,N,4,G,,,10/04/2023
